household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band
NYA-00050,-1.984617,30.088887,Nyarugenge,Kimisagara,2,2.4,protected_well,2,lower_middle
NYA-00051,-1.950294,30.075928,Nyarugenge,Muhima,2,3.2,piped,3,lower_middle
NYA-00052,-1.972025,30.069753,Nyarugenge,Mageragere,2,2.4,protected_well,2,lower_middle
NYA-00053,-1.96631,30.048819,Nyarugenge,Muhima,1,2.7,piped,2,low
NYA-00054,-1.939708,30.084093,Nyarugenge,Mageragere,0,3.0,protected_well,3,low
NYA-00055,-1.960946,30.035439,Nyarugenge,Nyamirambo,1,3.0,public_tap,2,lower_middle
NYA-00056,-1.969445,30.06159,Nyarugenge,Mageragere,1,2.6,public_tap,2,lower_middle
NYA-00057,-1.965464,30.052984,Nyarugenge,Mageragere,3,2.3,public_tap,3,upper
NYA-00058,-1.95881,30.091641,Nyarugenge,Nyamirambo,2,1.8,piped,2,low
NYA-00059,-1.957228,30.05523,Nyarugenge,Mageragere,1,2.3,piped,2,low
NYA-00060,-2.000055,30.073693,Nyarugenge,Kimisagara,4,2.8,piped,2,upper
NYA-00061,-1.939434,30.06415,Nyarugenge,Nyamirambo,3,2.4,public_tap,2,middle
NYA-00062,-1.959172,30.053866,Nyarugenge,Nyamirambo,1,3.5,piped,3,middle
NYA-00063,-1.962039,30.075205,Nyarugenge,Nyamirambo,1,1.9,public_tap,3,middle
NYA-00064,-1.946605,30.061788,Nyarugenge,Muhima,2,2.6,piped,3,lower_middle
NYA-00065,-1.95637,30.053619,Nyarugenge,Muhima,1,2.5,public_tap,3,middle
NYA-00066,-1.963528,30.015393,Nyarugenge,Mageragere,1,2.5,public_tap,3,lower_middle
NYA-00067,-1.994241,30.074347,Nyarugenge,Nyamirambo,0,2.4,protected_well,1,upper
NYA-00068,-1.959748,30.068076,Nyarugenge,Mageragere,0,3.3,piped,3,lower_middle
NYA-00069,-1.924261,30.051107,Nyarugenge,Kimisagara,2,3.3,piped,3,low
NYA-00070,-1.971168,30.049742,Nyarugenge,Nyamirambo,1,2.7,public_tap,2,upper
NYA-00071,-1.914357,30.071805,Nyarugenge,Kimisagara,2,2.0,public_tap,2,upper
NYA-00072,-1.954511,30.099054,Nyarugenge,Mageragere,0,3.3,surface_water,3,low
NYA-00073,-1.92858,30.048344,Nyarugenge,Muhima,2,2.5,piped,2,low
NYA-00074,-1.980055,30.054785,Nyarugenge,Mageragere,2,3.0,piped,2,lower_middle
NYA-00075,-1.970344,30.070333,Nyarugenge,Kimisagara,0,2.7,piped,2,upper
NYA-00076,-1.965651,30.073486,Nyarugenge,Nyamirambo,0,3.5,piped,2,upper
NYA-00077,-1.922228,30.006813,Nyarugenge,Mageragere,1,2.8,piped,3,lower_middle
NYA-00078,-1.933336,30.033469,Nyarugenge,Nyamirambo,2,2.6,piped,2,lower_middle
NYA-00079,-1.948025,30.057393,Nyarugenge,Muhima,0,3.0,public_tap,2,low
NYA-00080,-1.917072,30.039858,Nyarugenge,Muhima,0,1.9,piped,3,lower_middle
NYA-00081,-1.97483,30.043674,Nyarugenge,Muhima,2,3.2,public_tap,2,lower_middle
NYA-00082,-1.930564,30.059381,Nyarugenge,Nyamirambo,1,3.5,piped,1,middle
NYA-00083,-1.975769,30.062016,Nyarugenge,Mageragere,0,1.9,piped,3,lower_middle
NYA-00084,-1.959383,30.070539,Nyarugenge,Nyamirambo,3,3.4,piped,3,low
NYA-00085,-1.953162,30.076132,Nyarugenge,Nyamirambo,1,2.5,public_tap,1,lower_middle
NYA-00086,-1.98048,30.044031,Nyarugenge,Mageragere,2,3.5,public_tap,2,lower_middle
NYA-00087,-1.937849,30.029616,Nyarugenge,Muhima,1,2.5,public_tap,3,low
NYA-00088,-1.910499,30.059055,Nyarugenge,Muhima,3,2.2,piped,3,lower_middle
NYA-00089,-1.976387,30.055475,Nyarugenge,Mageragere,3,3.2,protected_well,3,middle
NYA-00090,-1.980531,30.058842,Nyarugenge,Nyamirambo,2,3.0,protected_well,1,upper
NYA-00091,-1.941067,30.055735,Nyarugenge,Nyamirambo,3,2.4,protected_well,2,upper
NYA-00092,-1.978103,30.070021,Nyarugenge,Muhima,1,2.5,piped,3,low
NYA-00093,-1.963012,30.080871,Nyarugenge,Kimisagara,1,3.0,protected_well,3,middle
NYA-00094,-1.888841,30.025828,Nyarugenge,Kimisagara,3,1.4,protected_well,2,lower_middle
NYA-00095,-1.956007,30.043904,Nyarugenge,Kimisagara,0,1.8,piped,2,lower_middle
NYA-00096,-1.953314,30.043488,Nyarugenge,Nyamirambo,2,3.2,protected_well,2,upper
NYA-00097,-1.960351,30.048022,Nyarugenge,Nyamirambo,0,2.5,public_tap,2,lower_middle
NYA-00098,-1.943128,30.052469,Nyarugenge,Muhima,2,2.3,piped,3,lower_middle
NYA-00099,-1.93913,30.081672,Nyarugenge,Kimisagara,1,3.0,piped,2,middle
NYA-00100,-1.936105,30.038783,Nyarugenge,Muhima,2,3.2,protected_well,2,low
NYA-00101,-1.982788,30.069251,Nyarugenge,Muhima,3,2.8,protected_well,3,upper
NYA-00102,-1.92983,30.090634,Nyarugenge,Muhima,3,2.5,piped,3,middle
NYA-00103,-1.941635,30.068008,Nyarugenge,Mageragere,2,2.7,piped,2,lower_middle
NYA-00104,-1.920097,30.064273,Nyarugenge,Kimisagara,4,3.2,public_tap,3,low
NYA-00105,-1.946489,30.06817,Nyarugenge,Kimisagara,0,1.8,piped,3,low
NYA-00106,-1.942658,30.049484,Nyarugenge,Mageragere,2,3.0,piped,2,low
NYA-00107,-1.974597,30.056445,Nyarugenge,Mageragere,0,3.2,public_tap,2,middle
NYA-00108,-1.961121,30.002652,Nyarugenge,Kimisagara,1,2.6,protected_well,2,upper
NYA-00109,-1.948516,30.055412,Nyarugenge,Mageragere,4,2.8,protected_well,2,lower_middle
NYA-00110,-1.940801,30.07215,Nyarugenge,Muhima,4,3.2,piped,1,middle
NYA-00111,-1.9425,30.044852,Nyarugenge,Nyamirambo,0,1.9,piped,2,lower_middle
NYA-00112,-1.955538,30.059492,Nyarugenge,Muhima,2,3.1,piped,2,low
NYA-00113,-1.950484,30.04858,Nyarugenge,Kimisagara,0,3.5,piped,3,low
NYA-00114,-1.967526,30.060753,Nyarugenge,Mageragere,1,2.7,piped,1,lower_middle
NYA-00115,-1.959869,30.0511,Nyarugenge,Nyamirambo,0,3.5,public_tap,3,low
NYA-00116,-1.961589,30.08178,Nyarugenge,Kimisagara,2,2.6,piped,3,middle
NYA-00117,-1.95739,30.064091,Nyarugenge,Mageragere,3,2.2,piped,2,low
NYA-00118,-1.8907,30.058067,Nyarugenge,Nyamirambo,4,2.1,piped,3,middle
NYA-00119,-1.928179,30.057785,Nyarugenge,Nyamirambo,1,1.9,public_tap,2,middle
NYA-00120,-1.982659,30.048545,Nyarugenge,Mageragere,2,3.3,protected_well,2,middle
NYA-00121,-1.943524,30.05417,Nyarugenge,Nyamirambo,1,1.6,piped,3,lower_middle
NYA-00122,-1.942514,30.058263,Nyarugenge,Kimisagara,3,1.9,public_tap,2,lower_middle
NYA-00123,-1.991903,30.065083,Nyarugenge,Mageragere,2,2.3,piped,2,upper
NYA-00124,-1.933058,30.08445,Nyarugenge,Muhima,2,2.5,protected_well,3,lower_middle
NYA-00125,-1.949032,30.046249,Nyarugenge,Kimisagara,1,2.6,piped,2,upper
NYA-00126,-1.947213,30.069051,Nyarugenge,Kimisagara,2,2.3,piped,3,upper
NYA-00127,-1.968769,30.072885,Nyarugenge,Mageragere,2,3.1,surface_water,1,middle
NYA-00128,-1.950618,30.100068,Nyarugenge,Mageragere,0,2.7,protected_well,3,middle
NYA-00129,-1.971792,30.092623,Nyarugenge,Nyamirambo,4,3.1,piped,3,middle
NYA-00130,-1.938712,30.067111,Nyarugenge,Kimisagara,3,3.0,piped,3,lower_middle
NYA-00131,-1.94759,30.039427,Nyarugenge,Nyamirambo,1,2.3,piped,2,low
NYA-00132,-1.975863,30.047981,Nyarugenge,Kimisagara,2,1.6,public_tap,3,low
NYA-00133,-1.959085,30.059601,Nyarugenge,Kimisagara,2,3.5,piped,2,lower_middle
NYA-00134,-1.955054,30.067842,Nyarugenge,Muhima,1,2.6,piped,3,upper
NYA-00135,-1.930582,30.047651,Nyarugenge,Kimisagara,2,2.4,piped,3,middle
NYA-00136,-1.969384,30.071021,Nyarugenge,Nyamirambo,2,3.3,public_tap,2,middle
NYA-00137,-1.940561,30.062784,Nyarugenge,Nyamirambo,1,2.9,protected_well,3,middle
NYA-00138,-1.955506,30.075028,Nyarugenge,Muhima,3,3.5,protected_well,2,lower_middle
NYA-00139,-1.905546,30.035244,Nyarugenge,Nyamirambo,1,3.2,public_tap,3,low
NYA-00140,-1.92081,30.026294,Nyarugenge,Mageragere,2,2.0,surface_water,2,lower_middle
NYA-00141,-1.943946,30.049317,Nyarugenge,Muhima,0,2.2,piped,1,middle
NYA-00142,-1.965181,30.060669,Nyarugenge,Nyamirambo,3,2.9,piped,3,middle
NYA-00143,-1.9361,30.098931,Nyarugenge,Nyamirambo,2,2.2,piped,1,middle
NYA-00144,-1.918331,30.053864,Nyarugenge,Mageragere,4,2.4,public_tap,3,lower_middle
NYA-00145,-1.94635,30.099004,Nyarugenge,Muhima,0,1.9,protected_well,2,middle
NYA-00146,-1.971412,30.042205,Nyarugenge,Mageragere,2,2.3,piped,3,lower_middle
NYA-00147,-1.933274,30.060625,Nyarugenge,Muhima,1,2.5,surface_water,3,lower_middle
NYA-00148,-1.938631,30.071992,Nyarugenge,Muhima,1,2.2,piped,2,lower_middle
NYA-00149,-1.954503,30.063952,Nyarugenge,Kimisagara,2,2.4,protected_well,2,upper
NYA-00150,-1.957434,30.040154,Nyarugenge,Nyamirambo,4,2.9,piped,2,low
NYA-00151,-2.007765,30.065865,Nyarugenge,Nyamirambo,2,2.2,public_tap,2,low
NYA-00152,-1.963773,30.058747,Nyarugenge,Kimisagara,4,2.4,piped,3,upper
NYA-00153,-1.943951,30.047441,Nyarugenge,Mageragere,3,2.0,public_tap,3,low
NYA-00154,-1.970879,30.055821,Nyarugenge,Kimisagara,1,3.2,piped,2,upper
NYA-00155,-1.950598,30.056514,Nyarugenge,Nyamirambo,3,2.7,piped,2,lower_middle
NYA-00156,-1.969882,30.059381,Nyarugenge,Nyamirambo,0,2.1,piped,3,middle
NYA-00157,-1.996054,30.051101,Nyarugenge,Kimisagara,3,3.2,piped,3,lower_middle
NYA-00158,-1.951767,30.078427,Nyarugenge,Kimisagara,2,2.4,public_tap,3,middle
NYA-00159,-1.948227,30.094443,Nyarugenge,Kimisagara,2,2.3,piped,1,middle
NYA-00160,-1.936395,30.083156,Nyarugenge,Nyamirambo,2,2.3,piped,1,lower_middle
NYA-00161,-1.937857,30.086223,Nyarugenge,Kimisagara,2,2.9,piped,2,lower_middle
NYA-00162,-1.920888,30.095985,Nyarugenge,Kimisagara,0,2.9,protected_well,3,middle
NYA-00163,-1.984755,30.021042,Nyarugenge,Mageragere,0,2.7,protected_well,2,middle
NYA-00164,-1.943917,30.065318,Nyarugenge,Kimisagara,3,3.2,protected_well,2,upper
NYA-00165,-1.970776,30.070058,Nyarugenge,Nyamirambo,0,2.6,surface_water,3,middle
NYA-00166,-1.94939,30.030161,Nyarugenge,Mageragere,2,1.8,public_tap,3,upper
NYA-00167,-1.943427,30.078005,Nyarugenge,Muhima,0,3.0,piped,2,middle
NYA-00168,-1.92424,30.051544,Nyarugenge,Nyamirambo,2,2.4,public_tap,3,lower_middle
NYA-00169,-1.978997,30.037874,Nyarugenge,Nyamirambo,4,2.3,piped,3,low
NYA-00170,-1.983977,30.089144,Nyarugenge,Muhima,2,3.2,public_tap,1,lower_middle
NYA-00171,-1.905715,30.05408,Nyarugenge,Nyamirambo,2,3.4,public_tap,3,low
NYA-00172,-1.950141,30.086248,Nyarugenge,Muhima,3,3.1,piped,2,low
NYA-00173,-1.958636,30.042279,Nyarugenge,Muhima,2,2.7,piped,2,lower_middle
NYA-00174,-1.956992,30.065233,Nyarugenge,Nyamirambo,2,2.1,protected_well,2,lower_middle
NYA-00175,-1.960556,30.075429,Nyarugenge,Kimisagara,1,3.1,piped,3,lower_middle
NYA-00176,-1.953842,30.08781,Nyarugenge,Kimisagara,2,1.4,piped,1,lower_middle
NYA-00177,-1.942904,30.038043,Nyarugenge,Muhima,4,2.2,public_tap,3,low
NYA-00178,-1.992014,30.013858,Nyarugenge,Mageragere,0,1.9,protected_well,3,middle
NYA-00179,-1.944918,30.003449,Nyarugenge,Muhima,0,2.3,public_tap,3,lower_middle
NYA-00180,-1.955477,30.029799,Nyarugenge,Muhima,1,1.7,surface_water,3,low
NYA-00181,-1.9484,30.066958,Nyarugenge,Muhima,1,2.9,piped,2,lower_middle
NYA-00182,-1.955911,30.063046,Nyarugenge,Kimisagara,1,2.1,public_tap,1,middle
NYA-00183,-1.958968,30.1002,Nyarugenge,Kimisagara,0,3.3,public_tap,3,lower_middle
NYA-00184,-1.96257,30.07205,Nyarugenge,Kimisagara,3,2.0,piped,2,lower_middle
NYA-00185,-1.957209,30.070228,Nyarugenge,Muhima,0,2.6,surface_water,3,lower_middle
NYA-00186,-1.969469,30.059892,Nyarugenge,Mageragere,3,1.8,protected_well,2,middle
NYA-00187,-1.926237,30.070735,Nyarugenge,Kimisagara,1,3.1,protected_well,3,lower_middle
NYA-00188,-1.955311,30.069669,Nyarugenge,Nyamirambo,1,2.8,piped,2,upper
NYA-00189,-1.964716,30.064073,Nyarugenge,Nyamirambo,4,2.8,protected_well,3,upper
NYA-00190,-1.97378,30.054895,Nyarugenge,Nyamirambo,2,2.3,public_tap,3,low
NYA-00191,-1.913842,30.067016,Nyarugenge,Muhima,1,2.6,piped,3,lower_middle
NYA-00192,-1.939084,30.043202,Nyarugenge,Nyamirambo,0,2.4,piped,2,upper
NYA-00193,-1.980369,30.084877,Nyarugenge,Muhima,2,2.8,piped,3,upper
NYA-00194,-1.958041,30.070485,Nyarugenge,Nyamirambo,2,1.8,piped,3,upper
NYA-00195,-1.929426,30.033665,Nyarugenge,Mageragere,3,2.1,protected_well,3,upper
NYA-00196,-1.969326,30.063003,Nyarugenge,Muhima,2,2.8,piped,3,lower_middle
NYA-00197,-1.954437,30.068434,Nyarugenge,Nyamirambo,3,3.0,piped,3,upper
NYA-00198,-1.94321,30.047085,Nyarugenge,Kimisagara,0,1.8,piped,2,middle
NYA-00199,-1.928998,30.042721,Nyarugenge,Muhima,2,3.1,protected_well,3,low
NYA-00200,-1.935314,30.047013,Nyarugenge,Kimisagara,3,2.3,public_tap,3,low
NYA-00201,-1.944697,30.072839,Nyarugenge,Kimisagara,2,1.8,protected_well,3,upper
NYA-00202,-1.932284,30.0646,Nyarugenge,Kimisagara,2,2.2,public_tap,3,lower_middle
NYA-00203,-1.955132,30.011945,Nyarugenge,Kimisagara,2,3.5,surface_water,3,middle
NYA-00204,-1.958792,30.015845,Nyarugenge,Nyamirambo,4,2.6,piped,2,low
NYA-00205,-1.967887,30.046612,Nyarugenge,Nyamirambo,1,3.1,piped,1,lower_middle
NYA-00206,-1.942453,30.05639,Nyarugenge,Muhima,0,2.7,piped,3,lower_middle
NYA-00207,-1.957982,30.046942,Nyarugenge,Muhima,3,3.0,piped,2,lower_middle
NYA-00208,-1.947103,30.047705,Nyarugenge,Muhima,1,2.3,piped,2,middle
NYA-00209,-1.939762,30.056634,Nyarugenge,Nyamirambo,2,2.7,public_tap,2,middle
NYA-00210,-1.948833,30.045104,Nyarugenge,Muhima,1,3.5,piped,2,low
NYA-00211,-1.989188,30.074653,Nyarugenge,Kimisagara,2,3.5,public_tap,3,middle
NYA-00212,-1.955315,30.088668,Nyarugenge,Nyamirambo,3,1.8,protected_well,3,middle
NYA-00213,-1.918287,30.075591,Nyarugenge,Muhima,1,2.2,piped,2,middle
NYA-00214,-1.978253,30.084266,Nyarugenge,Kimisagara,2,1.9,piped,2,low
NYA-00215,-1.855431,30.036895,Nyarugenge,Muhima,2,2.1,protected_well,1,low
NYA-00216,-1.971963,30.052764,Nyarugenge,Mageragere,1,2.6,public_tap,2,low
NYA-00217,-1.980793,30.030274,Nyarugenge,Muhima,2,3.4,public_tap,2,lower_middle
NYA-00218,-1.971268,30.042532,Nyarugenge,Mageragere,1,2.7,piped,2,lower_middle
NYA-00219,-1.953437,30.037837,Nyarugenge,Muhima,4,2.8,public_tap,2,middle
NYA-00220,-1.958958,30.034483,Nyarugenge,Muhima,1,2.8,piped,3,low
NYA-00221,-1.957235,30.065602,Nyarugenge,Nyamirambo,4,2.6,piped,3,middle
NYA-00222,-1.944895,30.080918,Nyarugenge,Nyamirambo,3,2.8,piped,2,lower_middle
NYA-00223,-1.926121,30.053262,Nyarugenge,Mageragere,1,3.2,public_tap,3,middle
NYA-00224,-1.952705,30.080071,Nyarugenge,Nyamirambo,0,3.5,public_tap,3,lower_middle
NYA-00225,-1.958199,30.045058,Nyarugenge,Kimisagara,1,2.4,protected_well,2,lower_middle
NYA-00226,-1.939699,30.074313,Nyarugenge,Kimisagara,2,2.9,public_tap,3,low
NYA-00227,-1.966405,30.059519,Nyarugenge,Mageragere,1,2.7,piped,1,lower_middle
NYA-00228,-1.949396,30.072172,Nyarugenge,Kimisagara,3,2.6,piped,3,lower_middle
NYA-00229,-1.969961,30.044731,Nyarugenge,Kimisagara,1,2.5,protected_well,3,lower_middle
NYA-00230,-1.948422,30.060463,Nyarugenge,Muhima,0,2.7,piped,3,middle
NYA-00231,-1.962978,30.063782,Nyarugenge,Nyamirambo,3,2.8,piped,3,middle
NYA-00232,-1.964776,30.077798,Nyarugenge,Kimisagara,2,2.4,piped,2,lower_middle
NYA-00233,-1.967169,30.082512,Nyarugenge,Kimisagara,3,3.1,piped,2,low
NYA-00234,-1.954525,30.075121,Nyarugenge,Nyamirambo,2,3.4,piped,3,upper
NYA-00235,-1.939555,30.043672,Nyarugenge,Kimisagara,4,2.2,surface_water,3,middle
NYA-00236,-1.958762,30.062796,Nyarugenge,Kimisagara,1,2.0,surface_water,3,lower_middle
NYA-00237,-1.925298,30.053598,Nyarugenge,Nyamirambo,1,2.5,piped,3,upper
NYA-00238,-1.96484,30.051641,Nyarugenge,Muhima,2,3.3,public_tap,2,middle
NYA-00239,-1.96757,30.031749,Nyarugenge,Kimisagara,1,2.0,piped,3,low
NYA-00240,-1.954361,30.007224,Nyarugenge,Nyamirambo,0,2.9,public_tap,3,lower_middle
NYA-00241,-1.928928,30.045531,Nyarugenge,Kimisagara,0,2.5,public_tap,3,middle
NYA-00242,-1.930383,30.045155,Nyarugenge,Kimisagara,0,3.1,piped,2,lower_middle
NYA-00243,-1.936596,30.073539,Nyarugenge,Muhima,0,2.3,piped,2,lower_middle
NYA-00244,-1.963901,30.059177,Nyarugenge,Mageragere,4,2.9,protected_well,3,upper
NYA-00245,-1.963243,30.048044,Nyarugenge,Mageragere,2,2.8,public_tap,3,low
NYA-00246,-1.9734,30.076971,Nyarugenge,Nyamirambo,1,2.8,protected_well,2,lower_middle
NYA-00247,-1.971782,30.056884,Nyarugenge,Mageragere,2,2.4,public_tap,2,upper
NYA-00248,-1.906247,30.022111,Nyarugenge,Nyamirambo,1,2.9,piped,2,lower_middle
NYA-00249,-1.947602,30.076592,Nyarugenge,Mageragere,0,2.2,protected_well,2,low
NYA-00250,-1.949466,30.071442,Nyarugenge,Muhima,1,2.2,public_tap,2,upper
NYA-00251,-1.945357,30.035937,Nyarugenge,Nyamirambo,0,2.9,public_tap,1,middle
NYA-00252,-1.963913,30.038316,Nyarugenge,Mageragere,1,2.6,public_tap,1,upper
NYA-00253,-1.96516,30.028673,Nyarugenge,Muhima,3,2.0,surface_water,1,upper
NYA-00254,-1.944974,30.089387,Nyarugenge,Mageragere,2,2.8,surface_water,1,low
NYA-00255,-1.980525,30.060652,Nyarugenge,Kimisagara,3,2.0,piped,2,low
NYA-00256,-1.966102,30.079158,Nyarugenge,Kimisagara,3,3.3,protected_well,3,lower_middle
NYA-00257,-1.941819,30.03349,Nyarugenge,Muhima,1,2.7,piped,3,lower_middle
NYA-00258,-1.959571,30.079155,Nyarugenge,Kimisagara,1,2.7,public_tap,3,middle
NYA-00259,-1.936195,30.008833,Nyarugenge,Kimisagara,1,2.2,surface_water,2,low
NYA-00260,-1.925653,30.076411,Nyarugenge,Nyamirambo,1,3.0,piped,2,upper
NYA-00261,-1.920805,30.025598,Nyarugenge,Mageragere,2,2.9,piped,3,middle
NYA-00262,-2.029423,30.099647,Nyarugenge,Nyamirambo,2,1.1,surface_water,1,lower_middle
NYA-00263,-1.928361,30.079911,Nyarugenge,Mageragere,2,2.5,protected_well,3,lower_middle
NYA-00264,-1.975982,30.035556,Nyarugenge,Kimisagara,2,2.9,protected_well,3,upper
NYA-00265,-1.940916,30.049305,Nyarugenge,Nyamirambo,3,2.6,piped,1,middle
NYA-00266,-1.946136,30.086393,Nyarugenge,Mageragere,2,2.5,piped,3,upper
NYA-00267,-1.969928,30.054403,Nyarugenge,Mageragere,1,2.8,piped,2,upper
NYA-00268,-1.927768,30.098694,Nyarugenge,Nyamirambo,2,2.7,protected_well,1,upper
NYA-00269,-1.925004,30.029698,Nyarugenge,Muhima,0,2.3,public_tap,2,lower_middle
NYA-00270,-1.958645,30.056734,Nyarugenge,Mageragere,2,2.1,protected_well,3,lower_middle
NYA-00271,-1.955885,30.049439,Nyarugenge,Kimisagara,0,2.1,piped,3,lower_middle
NYA-00272,-1.919728,30.047733,Nyarugenge,Mageragere,1,2.3,piped,2,middle
NYA-00273,-1.931031,30.034281,Nyarugenge,Kimisagara,0,2.6,public_tap,1,upper
NYA-00274,-1.920028,30.084955,Nyarugenge,Nyamirambo,1,3.2,piped,3,lower_middle
NYA-00275,-1.936888,30.02927,Nyarugenge,Mageragere,1,2.6,protected_well,2,upper
NYA-00276,-1.967291,30.093908,Nyarugenge,Kimisagara,1,2.6,public_tap,2,low
NYA-00277,-1.967288,30.057181,Nyarugenge,Kimisagara,1,3.4,protected_well,2,middle
NYA-00278,-1.918635,30.085807,Nyarugenge,Nyamirambo,1,2.8,public_tap,1,lower_middle
NYA-00279,-1.963972,30.04259,Nyarugenge,Mageragere,2,3.4,piped,2,lower_middle
NYA-00280,-1.929606,30.082627,Nyarugenge,Mageragere,1,2.8,surface_water,2,middle
NYA-00281,-1.953701,30.047609,Nyarugenge,Nyamirambo,1,3.0,public_tap,3,upper
NYA-00282,-1.907172,30.044988,Nyarugenge,Mageragere,1,2.9,public_tap,2,lower_middle
NYA-00283,-1.959581,30.02453,Nyarugenge,Nyamirambo,0,3.0,piped,3,low
NYA-00284,-1.915016,30.039635,Nyarugenge,Mageragere,0,2.9,piped,2,lower_middle
NYA-00285,-1.963887,30.0666,Nyarugenge,Muhima,2,1.7,piped,2,lower_middle
NYA-00286,-1.963361,30.080111,Nyarugenge,Mageragere,1,3.0,surface_water,2,upper
